QED,TPSA,permeability
0.44045160,140.14000000,-5.17000010
0.42505396,140.14000000,-5.34000020
0.29486914,166.44000000,-5.59999990
0.23381723,158.60000000,-5.69000010
0.79776327,86.71000000,-6.02500010
0.44540043,133.08000000,-5.05999990
0.16630604,192.03000000,-5.88000010
0.19543430,192.03000000,-6.46999980
0.53276399,81.42000000,-4.11000010
0.87104915,71.09000000,-4.05999990
0.40519045,156.09000000,-6.23000000
0.09529800,214.96000000,-6.76499990
0.68161258,112.73000000,-6.36000010
0.63614686,115.81000000,-6.63000010
0.15217845,224.74000000,-5.11000010
0.23465881,88.89000000,-5.90000010
0.80012224,30.87000000,-4.51000020
0.33972548,116.35000000,-6.69896980
0.81510136,51.80000000,-4.59687950
0.83150047,68.87000000,-4.46092370
0.73532312,49.57000000,-4.17587420
0.79011120,46.17000000,-4.18641900
0.71978673,60.16000000,-4.26201250
0.30436120,156.79000000,-6.25181200
0.23465881,88.89000000,-6.04200980
0.05598953,241.04000000,-7.43179850
0.37554348,101.25000000,-4.85698510
0.42472781,125.04000000,-4.59176020
0.51209736,74.33000000,-5.22184900
0.51860980,61.44000000,-4.95860720
0.57545852,130.31000000,-6.05551720
0.71356962,50.72000000,-4.34930130
0.30231193,107.61000000,-4.61978860
0.19710330,136.71000000,-5.00000000
0.43950663,97.39000000,-4.55284210
0.47311520,101.80000000,-4.63827230
0.39654356,97.12000000,-4.63827230
0.43416366,97.39000000,-4.53760190
0.49211129,101.80000000,-4.55284210
0.36938172,84.50000000,-4.60205980
0.39319516,97.39000000,-4.60205980
0.47799744,97.39000000,-4.60205980
0.46007941,97.12000000,-4.50863840
0.47027257,84.50000000,-4.46852110
0.39946595,104.96000000,-5.74472760
0.40956486,104.96000000,-5.36653140
0.33163944,116.31000000,-5.38721610
0.16032347,148.94000000,-6.18837500
0.16790496,136.05000000,-5.64792440
0.12318749,136.05000000,-5.74140210
0.48015124,116.72000000,-5.14749570
0.18733783,140.15000000,-6.37236360
0.11884307,136.05000000,-5.94302850
0.66635052,12.03000000,-4.75448750
0.56842701,28.68000000,-5.22329900
0.52429792,40.80000000,-4.95742460
0.79931763,44.48000000,-4.92793420
0.66912421,88.18000000,-4.88856940
0.79335091,44.48000000,-4.99139980
0.82436490,44.48000000,-4.98800710
0.92216196,47.56000000,-4.99203920
0.92027901,47.56000000,-5.04987860
0.91141365,47.56000000,-5.05036590
0.92611452,41.93000000,-4.59868570
0.14643205,268.68000000,-7.30980400
0.78569238,91.67000000,-4.50863840
0.69461168,94.83000000,-5.44369750
0.68161110,57.61000000,-4.81530860
0.81367839,3.24000000,-3.90066480
0.77295741,65.56000000,-4.81247950
0.38111745,141.30000000,-6.58854870
0.77613222,12.47000000,-4.62893200
0.67923934,112.73000000,-6.10237310
0.37180981,162.92000000,-6.06048060
0.36714957,136.24000000,-5.18508670
0.58307345,100.52000000,-5.40011690
0.49854904,112.73000000,-5.69250390
0.80016168,72.88000000,-4.98254920
0.46034130,76.76000000,-4.36341190
0.85179641,21.26000000,-4.92996220
0.28661244,175.83000000,-5.94884730
0.55490750,130.05000000,-6.05551720
0.69964410,71.77000000,-4.75448750
0.70781872,32.26000000,-4.99139980
0.16276044,111.79000000,-5.30980400
0.39454437,29.10000000,-4.24412540
0.28436206,29.10000000,-4.69896980
0.80141515,53.43000000,-5.72062300
0.78468963,30.17000000,-4.38941960
0.81367839,3.24000000,-4.26000020
0.65421622,26.02000000,-4.38999990
0.67487829,112.73000000,-6.07000020
0.58307345,100.52000000,-5.40000010
0.38647714,42.32000000,-5.15000010
0.16276044,111.79000000,-5.30999990
0.61643918,50.72000000,-4.31563090
0.56041208,107.26000000,-4.65999980
0.57784848,59.95000000,-4.76000020
0.87917625,54.35000000,-4.40000010
0.82049377,29.10000000,-3.95195440
0.81409707,62.21000000,-4.46000000
0.68161110,57.61000000,-4.82000020
0.29500805,173.76000000,-6.29000000
0.75410533,77.98000000,-4.80506040
0.70389370,53.01000000,-5.50000000
0.75641176,28.16000000,-4.55000020
0.82400692,16.13000000,-4.28000020
0.65422136,3.24000000,-4.73999980
0.32505460,181.62000000,-6.32000020
0.65351352,46.00000000,-4.19000010
0.26582943,182.91000000,-5.46999980
0.86970547,30.87000000,-4.51000020
0.79814441,41.93000000,-4.28000020
0.38589286,64.35000000,-5.44000010
0.72104309,46.26000000,-4.56146100
0.77613222,12.47000000,-4.73999980
0.88072854,49.33000000,-4.46068100
0.16221462,203.06000000,-5.63160420
0.67579164,59.08000000,-4.40436120
0.73280910,38.33000000,-4.05000020
0.60568381,52.19000000,-5.69000010
0.64998316,106.94000000,-5.88000010
0.67608955,34.14000000,-4.32999990
0.67254605,38.91000000,-4.40000010
0.84899503,21.26000000,-4.55000020
0.66785336,30.49000000,-3.72948500
0.63497204,26.71000000,-4.88999990
0.50478773,82.69000000,-5.69999980
0.48549306,139.28000000,-6.10122780
0.59816168,130.15000000,-4.71999980
0.48597553,100.62000000,-6.07000020
0.87950008,74.57000000,-4.88999990
0.46034130,76.76000000,-4.32999990
0.75934529,40.54000000,-4.71000000
0.38941616,86.28000000,-5.38999990
0.26282342,118.03000000,-5.69000010
0.63335470,112.74000000,-4.61000010
0.67357605,75.17000000,-4.44000010
0.59683896,95.58000000,-4.89506200
0.70386158,90.37000000,-5.42000010
0.38448821,132.96000000,-6.65999980
0.88203469,74.57000000,-4.80000020
0.51631576,43.78000000,-4.96999980
0.55490750,130.05000000,-6.05999990
0.44208018,92.51000000,-6.07275870
0.67199939,72.83000000,-4.84000020
0.88834406,54.37000000,-4.34999990
0.72749044,84.08000000,-4.51000020
0.63489230,99.60000000,-4.70586010
0.68514254,94.83000000,-5.11615180
0.85530206,92.50000000,-5.30492020
0.32650098,101.90000000,-6.15000010
0.44512995,124.78000000,-5.16874550
0.36664547,111.57000000,-4.93057540
0.55877967,108.33000000,-4.33199830
0.50261747,108.33000000,-4.69999980
0.54056406,108.33000000,-4.62003090
0.90575522,49.77000000,-5.01000020
0.14016402,206.60000000,-6.95930340
0.77118510,63.33000000,-4.48000000
0.73149002,78.89000000,-4.17999980
0.73688381,75.27000000,-4.63000010
0.87018392,99.60000000,-4.44909950
0.39708379,124.29000000,-5.86999990
0.68929528,106.95000000,-4.88999990
0.76439464,59.42000000,-4.38999990
0.69461168,94.83000000,-5.36999990
0.82885805,6.48000000,-4.38000010
0.83215389,6.48000000,-3.77777220
0.85613715,77.82000000,-4.23000000
0.87760162,45.59000000,-4.67999980
0.31866433,70.00000000,-5.72275350
0.20206140,161.48000000,-6.13009070
0.37356669,117.78000000,-5.36999990
0.18957194,216.66000000,-5.39978600
0.87507810,86.46000000,-4.61999990
0.19750207,166.75000000,-6.28000020
0.63906228,72.83000000,-5.17000010
0.52727015,124.78000000,-5.38999990
0.69182892,100.59000000,-4.77840660
0.87760162,45.59000000,-4.50089550
0.64988905,84.32000000,-5.34839390
0.81733074,97.97000000,-5.83931640
0.84457122,65.20000000,-5.68289760
0.18495554,178.36000000,-5.15000010
0.45057268,12.47000000,-4.32211110
0.71080529,85.32000000,-4.31036470
0.72335880,83.55000000,-4.69999980
0.72421813,95.66000000,-4.52000000
0.69040106,45.78000000,-4.61999990
0.66348818,43.07000000,-4.55000020
0.64237197,37.30000000,-4.32000020
0.49443163,112.07000000,-6.26000020
0.77295741,65.56000000,-4.80999990
0.74469716,37.61000000,-4.50000000
0.88130122,59.30000000,-4.61000010
0.63077223,30.21000000,-3.92010830
0.56045186,83.63000000,-5.21233510
0.74693278,3.24000000,-4.48000000
0.26106666,118.71000000,-5.67889020
0.68840604,87.30000000,-5.74844030
0.68838518,87.30000000,-5.39002420
0.65532843,87.30000000,-5.04992680
0.65068384,87.30000000,-5.14133360
0.79391327,58.20000000,-4.60953280
0.79881962,58.20000000,-4.51324650
0.82255862,58.20000000,-4.42104580
0.81246667,58.20000000,-4.35176560
0.32860181,116.35000000,-6.87623170
0.25031631,153.65000000,-7.38149980
0.21801539,142.65000000,-7.11788560
0.25030744,153.65000000,-7.38202480
0.25030744,153.65000000,-7.33909370
0.21805440,142.65000000,-7.09129430
0.15905263,159.89000000,-7.36776160
0.24491257,139.66000000,-7.14876030
0.51675787,92.50000000,-4.99783900
0.31827908,102.36000000,-6.85039040
0.53194300,47.56000000,-4.15078260
0.42320019,56.79000000,-4.13008120
0.49831715,56.79000000,-4.19204570
0.38309114,137.82000000,-6.51711750
0.86898338,50.80000000,-4.55000020
0.83863550,50.80000000,-4.57000020
0.74675530,50.80000000,-4.59000020
0.70115216,50.80000000,-4.77000000
0.43823235,112.88000000,-6.42010830
0.81610734,75.61000000,-4.56931830
0.51015689,72.72000000,-6.01886460
0.88879694,65.78000000,-4.80997420
0.09529800,214.96000000,-6.60471300
0.79776327,86.71000000,-5.86979340
0.52727015,124.78000000,-5.39897010
0.45609177,106.41000000,-6.07029060
0.73610111,48.13000000,-5.32119660
0.26527808,173.98000000,-6.39827390
0.23789143,189.53000000,-6.53643940
0.46929919,91.44000000,-6.45796590
0.45135219,63.32000000,-5.42010830
0.18951236,137.50000000,-5.65878870
0.50657626,83.63000000,-4.90000010
0.26551341,99.77000000,-5.29121490
0.34571183,125.12000000,-5.19854310
0.60346307,70.59000000,-5.42798420
0.67854649,70.59000000,-5.21984150
0.75245092,112.74000000,-4.87971160
0.10235784,227.85000000,-6.22092440
0.10975497,219.06000000,-6.30051520
0.10975497,219.06000000,-6.39897010
0.12260072,210.27000000,-6.74236390
0.73925371,72.19000000,-5.10009000
0.65832954,101.29000000,-5.69948480
0.34232870,121.60000000,-5.34847690
0.37579180,112.81000000,-4.92292740
0.38006675,104.02000000,-4.69378040
0.37157839,90.03000000,-4.49488970
0.30183421,148.69000000,-6.56112480
0.32925043,119.54000000,-6.15245100
0.92237922,71.53000000,-4.29000000
0.89159739,71.11000000,-4.67889020
0.78227156,61.88000000,-5.33862110
0.58596667,65.12000000,-4.45796590
0.64668948,85.35000000,-4.43089910
0.66220753,85.35000000,-4.74236390
0.90825916,95.32000000,-4.37837550
0.75029127,78.95000000,-4.63913630
0.40316911,117.01000000,-5.25090600
0.73290792,101.73000000,-5.88802810
0.30526467,94.33000000,-5.41051530
0.25235173,80.78000000,-5.08141370
0.75111054,72.94000000,-5.00000000
0.38266267,125.12000000,-5.09845500
0.55388397,133.10000000,-4.53880070
0.46864910,108.05000000,-4.51784990
0.73851800,72.94000000,-4.90745070
0.79412733,75.91000000,-5.26858140
0.51441423,71.09000000,-4.84962180
0.76911022,101.91000000,-4.79793980
0.55953776,136.64000000,-5.38913820
0.56790872,136.64000000,-5.59088040
0.34263034,165.74000000,-6.08046100
0.36616801,165.74000000,-5.42068050
0.51566654,97.99000000,-5.91181990
0.10598183,184.98000000,-7.22774120
0.20806847,181.82000000,-7.17957070
0.12533244,211.28000000,-7.08915520
0.07002518,212.74000000,-6.22237680
0.09005558,297.12000000,-6.49107220
0.09895820,297.12000000,-6.55954550
0.13999236,238.20000000,-6.22920610
0.30953917,159.05000000,-5.83782390
0.59694462,50.44000000,-4.57101390
0.45308629,106.20000000,-4.81237030
0.45308629,106.20000000,-4.84992890
0.54283066,37.30000000,-4.30990170
0.35772412,17.07000000,-5.00000000
0.35201949,17.07000000,-4.49242500
0.34281237,70.39000000,-5.52071670
0.27917130,100.05000000,-5.63913630
0.38468699,108.01000000,-5.79793980
0.39989543,124.66000000,-5.58751340
0.31083649,99.77000000,-5.04787870
0.28096270,99.77000000,-4.73999980
0.31888931,112.91000000,-5.22092440
0.30741554,99.77000000,-5.07000020
0.24814966,99.77000000,-5.40946770
0.19736456,103.01000000,-4.99783900
0.59986894,50.19000000,-5.19000010
0.51265100,38.91000000,-4.53805350
0.57726279,55.98000000,-4.27827220
0.49949299,12.89000000,-4.22020200
0.57165955,33.12000000,-4.09022240
0.61666193,12.89000000,-4.06800370
0.51265100,38.91000000,-4.02022550
0.53133630,12.89000000,-3.97234730
0.45314797,12.89000000,-3.97030810
0.47199837,12.89000000,-3.96128680
0.61666193,12.89000000,-3.88802840
0.76927916,12.47000000,-4.91146420
0.67627413,12.47000000,-5.59758280
0.70068631,39.44000000,-4.64794590
0.73763361,48.67000000,-4.63132240
0.73788278,57.90000000,-4.55954550
0.70009155,70.67000000,-5.21233510
0.70009155,70.67000000,-5.01059720
0.63183294,90.90000000,-4.98218010
0.33959876,100.05000000,-5.95930340
0.42784672,100.05000000,-5.82195470
0.06030253,213.95000000,-6.40946770
0.40332205,139.82000000,-6.45796590
0.36841200,126.02000000,-6.36826560
0.32892140,128.82000000,-6.85193590
0.54979166,101.93000000,-4.50931930
0.53182499,81.42000000,-4.33184860
0.53818986,153.41000000,-4.17000010
0.76229486,86.93000000,-5.18745090
0.51639208,36.92000000,-6.23142240
0.58311736,48.91000000,-5.30225900
0.31397526,137.95000000,-5.84745120
0.30211237,137.95000000,-5.73287870
0.27703227,137.95000000,-5.69540930
0.19477813,137.95000000,-5.13000010
0.07781066,216.89000000,-5.73971890
0.68912265,56.73000000,-4.82051180
0.41380660,119.65000000,-5.10118630
0.42139025,95.86000000,-4.69948480
0.35586732,112.93000000,-5.85193590
0.36285477,105.09000000,-5.30051520
0.42762519,106.86000000,-5.76977590
0.28196442,114.32000000,-5.79793980
0.33206762,105.09000000,-5.72062300
0.31363484,104.70000000,-4.97234730
0.26073563,110.77000000,-5.85193590
0.25127139,120.08000000,-5.76977590
0.29011846,120.08000000,-5.88802810
0.23027218,99.77000000,-5.19191030
0.25431242,109.00000000,-5.95930340
0.35777023,127.45000000,-4.86000010
0.31134175,127.45000000,-4.69000010
0.38387026,127.45000000,-4.76000020
0.46618613,107.22000000,-4.57999990
0.35306167,138.45000000,-4.79000000
0.29471181,158.68000000,-4.90000010
0.10886983,44.76000000,-4.84985210
0.10192777,44.76000000,-5.01016380
0.80494068,38.69000000,-4.84284310
0.54005717,50.68000000,-5.05825280
0.69181225,39.34000000,-4.63225600
0.39607237,68.29000000,-4.51000020
0.47618393,20.23000000,-4.95214270
0.51876149,72.69000000,-5.42240620
0.04935480,374.13000000,-6.95930340
0.39916525,141.75000000,-6.28199860
0.67175201,107.98000000,-4.16874550
0.72098465,67.01000000,-4.10118630
0.40840542,95.94000000,-5.14013100
0.16685935,152.37000000,-5.83134130
0.69021116,29.54000000,-4.91986750
0.48019281,65.74000000,-4.92040970
0.53997124,84.22000000,-4.66777320
0.79139806,40.16000000,-4.54979850
0.24502800,61.86000000,-4.18774320
0.77295741,65.56000000,-4.72989370
0.09226626,270.78000000,-7.49810460
0.31163406,173.48000000,-6.59000020
0.28719079,156.41000000,-7.01000020
0.19842800,227.69000000,-7.03075840
0.68131705,32.78000000,-4.50861980
0.71949454,51.24000000,-4.77864220
0.42438673,71.06000000,-5.46000000
0.71129145,53.01000000,-4.60016300
0.21455973,164.38000000,-6.13148310
0.10221311,256.72000000,-6.05946780
0.25171229,160.95000000,-5.62900450
0.56315289,93.45000000,-5.60102990
0.30595721,156.89000000,-4.88802810
0.29372396,156.89000000,-5.07786040
0.27866806,156.89000000,-5.23828600
0.32166563,161.82000000,-4.82195470
0.29655488,156.89000000,-4.92040970
0.15566432,238.20000000,-6.15999980
0.29959620,181.05000000,-6.20032980
0.30180686,179.28000000,-6.92040970
0.54585140,111.13000000,-4.98999980
0.57213908,120.36000000,-5.00130650
0.27598839,190.28000000,-6.09999990
0.22887514,210.51000000,-6.27000000
0.14663527,258.43000000,-6.53880070
0.59927145,107.22000000,-5.28000020
0.35466264,160.82000000,-6.39897010
0.58250297,77.76000000,-4.83782390
0.50959273,110.38000000,-6.43119240
0.71762409,49.57000000,-5.30000020
0.45715395,47.61000000,-5.52000000
0.48737852,64.68000000,-5.69999980
0.48050572,55.89000000,-5.00000000
0.53877543,78.67000000,-5.52143910
0.48810197,64.68000000,-4.92040970
0.45305433,55.89000000,-4.43089910
0.47413360,87.90000000,-5.52143910
0.43968663,55.89000000,-5.04787870
0.73395094,66.49000000,-5.10118630
0.78111574,59.81000000,-5.15900750
0.75760066,59.81000000,-5.01161430
0.71274806,69.04000000,-5.15152260
0.61821011,69.04000000,-5.32756950
0.75593172,59.81000000,-5.12950560
0.74363154,59.81000000,-5.08862350
0.36896319,119.01000000,-5.74236390
0.37062511,109.78000000,-5.63195470
0.68968492,66.91000000,-5.15807200
0.65195708,76.14000000,-5.10036330
0.68673062,66.91000000,-5.25168320
0.68769148,66.91000000,-5.26060960
0.65881970,66.91000000,-5.22957370
0.43587605,66.91000000,-5.57000020
0.42239480,99.81000000,-5.89897010
0.45578306,91.02000000,-5.72092440
0.52961809,91.02000000,-4.82895090
0.52961809,91.02000000,-5.80051520
0.57872121,91.02000000,-5.30999990
0.47486982,91.02000000,-4.69000010
0.49407349,91.02000000,-5.26000020
0.45788829,91.02000000,-5.11000010
0.46606987,91.02000000,-5.00000000
0.45301873,100.25000000,-5.80051520
0.45052667,91.02000000,-4.64937070
0.51233248,87.78000000,-4.82895090
0.52282345,95.66000000,-4.91860720
0.17926311,127.88000000,-4.86164090
0.48372192,74.60000000,-5.80000020
0.22011364,49.84000000,-5.44124650
0.84404546,57.53000000,-4.75972560
0.46215785,136.68000000,-6.01072070
0.12400601,289.66000000,-7.04787870
0.59910010,118.72000000,-5.69125220
0.65034456,101.65000000,-5.99069980
0.46781321,129.92000000,-5.71419050
0.37616585,144.41000000,-6.52143910
0.12260072,210.27000000,-6.57000020
0.86382099,43.70000000,-4.77994630
0.43709373,130.61000000,-6.82840680
0.54235255,87.74000000,-4.77000000
0.34297549,108.36000000,-5.22957370
0.69970659,105.17000000,-4.95930340
0.54583097,99.52000000,-5.30051520
0.46459896,52.04000000,-4.51796580
0.13883451,199.95000000,-7.38000010
0.14044068,199.95000000,-7.02000000
0.13425483,191.75000000,-7.30999990
0.84220508,75.71000000,-4.59000020
0.79942764,66.84000000,-4.17999980
0.79673669,72.63000000,-4.84999990
0.41947256,65.07000000,-3.95000000
0.52060972,78.43000000,-5.21999980
0.83348595,69.72000000,-5.11999990
0.76019682,81.67000000,-5.69999980
0.88048878,92.78000000,-4.71999980
0.69566655,46.61000000,-4.01000020
0.07980421,259.50000000,-7.30999990
0.45513207,125.04000000,-6.09999990
0.44787976,157.13000000,-5.23000000
0.34290586,118.36000000,-5.19999980
0.25500421,121.07000000,-4.19999980
0.46842995,121.07000000,-4.32999990
0.44203159,148.65000000,-4.38999990
0.47039071,139.42000000,-4.09999990
0.44752915,162.64000000,-4.73999980
0.67287420,72.94000000,-5.15000010
0.20169622,225.06000000,-6.82000020
0.84161037,39.66000000,-4.67999980
0.50450771,101.05000000,-5.46000000
0.40009021,71.95000000,-5.32000020
0.22967491,179.56000000,-5.32000020
0.18588093,181.31000000,-5.65999980
0.21803264,182.73000000,-7.00000000
0.39004883,133.10000000,-6.00000000
0.45287088,107.08000000,-5.90000010
0.32172555,133.10000000,-6.00000000
0.38888181,107.08000000,-5.50000000
0.34677190,107.08000000,-5.30000020
0.24982675,126.40000000,-5.42000010
0.60201607,20.23000000,-4.48999980
0.39506805,69.56000000,-5.15000010
0.47456774,95.42000000,-5.88999990
0.50855640,94.56000000,-5.59999990
0.50855640,94.56000000,-5.21999980
0.52031493,95.42000000,-5.69000010
0.57316368,136.64000000,-5.29000000
0.57316368,136.64000000,-6.01000020
0.61438845,46.53000000,-4.46000000
0.72305238,46.53000000,-4.38999990
0.59078635,46.53000000,-4.48999980
0.56176543,46.53000000,-4.88000010
0.42886424,128.20000000,-4.71000000
0.77848343,78.10000000,-4.30999990
0.34232870,121.60000000,-5.09000020
0.29559021,116.40000000,-5.38000010
0.78176686,28.60000000,-4.65999980
0.78903358,28.16000000,-4.59999990
0.71705071,12.47000000,-4.73000000
0.56700685,69.64000000,-4.69999980
0.57273575,89.87000000,-4.88999990
0.72205770,39.68000000,-4.73999980
0.78096811,15.60000000,-4.71999980
0.63113671,23.55000000,-5.05999990
0.72252680,52.05000000,-4.86999990
0.12722824,166.45000000,-5.80000020
0.14668002,166.45000000,-5.84999990
0.13262412,166.45000000,-5.54000000
0.33279568,160.83000000,-6.05000020
0.48089503,95.84000000,-5.82000020
0.47539188,114.05000000,-5.38000010
0.38108703,80.79000000,-6.30000020
0.59239425,87.64000000,-4.90999980
0.63768824,96.87000000,-5.11999990
0.57826197,96.87000000,-5.80000020
0.56042557,96.87000000,-5.71999980
0.61981014,96.87000000,-5.50000000
0.58499008,87.64000000,-5.59000020
0.54833720,87.64000000,-5.24500040
0.62863034,93.63000000,-5.13999990
0.61041706,93.63000000,-5.40000010
0.66924396,93.63000000,-5.07000020
0.64894075,93.63000000,-5.42000010
0.63543687,84.40000000,-4.82999990
0.65449752,84.40000000,-5.15999980
0.72892417,76.15000000,-4.44999980
0.81506892,75.27000000,-4.46000000
0.45959437,90.15000000,-4.50000000
0.54369731,74.34000000,-4.30000020
0.42922080,26.30000000,-3.51000000
0.26389436,55.12000000,-4.11999990
0.66133518,32.34000000,-3.81999990
0.71591595,83.83000000,-4.98000000
0.63888732,86.99000000,-5.27000000
0.63875940,86.99000000,-4.82000020
0.22967491,179.56000000,-5.38999990
0.47751601,51.96000000,-4.19999980
0.24680260,117.20000000,-4.96999980
0.11144084,146.30000000,-5.32000020
0.18761486,137.07000000,-5.59999990
0.14794382,149.96000000,-5.46999980
0.38126857,147.66000000,-4.67999980
0.35326364,156.89000000,-4.88999990
0.31747778,169.78000000,-5.21999980
0.34829559,156.89000000,-4.69999980
0.34690093,156.89000000,-4.88999990
0.32270734,166.12000000,-5.05000020
0.33742042,156.89000000,-4.59000020
0.34177662,156.89000000,-4.48999980
0.30282949,165.68000000,-4.48999980
0.64745608,80.39000000,-4.52000000
0.87473983,75.01000000,-4.55000020
0.58474682,88.46000000,-4.69000010
0.51125523,147.10000000,-5.70887180
0.50232591,99.88000000,-4.67000010
0.65093742,111.83000000,-5.63999990
0.13340704,88.85000000,-4.52000000
0.67474303,69.26000000,-4.96000000
0.79475312,24.92000000,-4.05999990
0.52075549,3.24000000,-4.73000000
0.38428271,141.75000000,-5.88999990
0.80602039,74.60000000,-4.48500010
0.26924621,131.75000000,-5.69999980
0.40574763,149.82000000,-6.36000010
0.83980323,54.37000000,-4.67000010
0.26283096,29.10000000,-4.42999980
0.32540806,167.08000000,-5.80999990
